STRUCTURE_NUMBER_008,MIN_VERT_CLR_010,APPR_WIDTH_MT_032,STRUCTURE_FLARED_035,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,HORR_CLR_MT_047,DECK_AREA,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,MIN_NAV_CLR_MT_116,DEGREES_SKEW_034
000000000027561,99.99,9.1,0,0.0,0.0,0.0,0.0,9.1,10.2,99.99,N,0.0,N,0.0,0.0,8.5,432.48,20.7,42.4,0.0,0
000000000027562,99.99,6.7,0,0.0,0.0,0.1,0.1,8.5,11.0,99.99,N,0.0,N,0.0,0.0,8.5,100.1,8.5,9.1,0.0,30
000000000027563,99.99,6.1,0,0.0,0.0,0.0,0.0,7.0,8.0,99.99,N,0.0,N,0.0,0.0,7.0,53.6,6.1,6.7,0.0,0
000000000027564,99.99,6.1,0,0.0,0.0,0.0,0.0,4.9,6.1,99.99,N,0.0,N,0.0,0.0,4.7,165.31,7.9,27.1,0.0,0
000000000027568,99.99,7.3,0,0.0,0.0,1.5,0.0,7.3,9.9,99.99,N,0.0,N,0.0,0.0,7.3,271.26,13.1,27.4,0.0,20
000000000027569,99.99,6.7,0,0.0,0.0,0.0,1.2,8.7,9.6,99.99,N,0.0,N,0.0,0.0,8.7,169.92,8.2,17.7,0.0,18
000000000027571,99.99,11.6,0,0.0,0.0,0.0,0.0,7.6,9.0,99.99,N,0.0,N,0.0,0.0,7.6,526.5,18.6,58.5,0.0,0
000000000027572,99.99,7.3,0,0.0,0.0,0.2,1.6,6.1,8.8,99.99,N,0.0,N,0.0,0.0,6.1,150.48,8.2,17.1,0.0,34
000000000027573,99.99,6.4,0,0.0,0.0,0.0,0.0,7.0,7.8,99.99,N,0.0,N,0.0,0.0,7.0,66.3,7.6,8.5,0.0,0
000000000027574,99.99,7.3,0,0.0,0.0,1.2,0.1,7.3,9.8,99.99,N,0.0,N,0.0,0.0,7.3,89.18,4.3,9.1,0.0,0
000000000027576,99.99,7.3,0,0.0,0.0,1.2,0.3,7.4,9.1,99.99,N,0.0,N,0.0,0.0,7.4,349.44,12.5,38.4,0.0,7
000000000027578,99.99,4.9,0,0.0,0.0,0.0,0.0,4.9,6.5,99.99,N,0.0,N,0.0,0.0,4.9,134.55,6.1,20.7,0.0,0
000000000027579,99.99,7.3,0,0.0,0.0,1.3,0.3,7.3,10.2,99.99,N,0.0,N,0.0,0.0,7.3,230.52,11.0,22.6,0.0,30
000000000027582,99.99,9.1,0,0.0,0.0,0.2,0.2,9.1,10.2,99.99,N,0.0,N,0.0,0.0,9.1,270.3,12.8,26.5,0.0,0
000000000027583,99.99,6.4,0,0.0,0.0,0.2,0.2,9.1,10.4,99.99,N,0.0,N,0.0,0.0,9.1,199.68,18.6,19.2,0.0,33
000000000027584,99.99,5.5,0,0.0,0.0,0.1,0.1,5.5,6.4,99.99,N,0.0,N,0.0,0.0,5.5,78.08,4.9,12.2,0.0,0
000000000027587,99.99,9.8,0,0.0,0.0,0.2,0.2,9.2,10.5,99.99,H,4.44,H,6.2,0.0,9.2,694.05,40.2,66.1,0.0,99
000000000027588,99.99,9.4,0,0.0,0.0,0.0,0.0,7.2,7.6,99.99,N,0.0,N,0.0,0.0,7.2,218.12,8.5,28.7,0.0,0
000000000027589,99.99,7.6,0,0.0,0.0,0.0,0.0,7.8,8.8,99.99,N,0.0,N,0.0,0.0,7.8,74.8,4.3,8.5,0.0,15
000000000027590,99.99,12.2,0,0.0,0.0,0.2,0.2,12.2,13.4,99.99,R,6.96,R,0.0,0.0,12.2,408.7,11.6,30.5,0.0,10
000000000027593,99.99,11.9,0,0.0,0.0,0.2,0.2,11.6,12.6,99.99,N,0.0,N,0.0,0.0,11.6,153.72,12.2,12.2,0.0,20
000000000027594,99.99,9.1,0,0.0,0.0,0.0,0.0,8.5,9.7,99.99,N,0.0,N,0.0,0.0,8.5,67.9,3.7,7.0,0.0,10
000000000027596,99.99,7.3,0,0.0,0.0,0.0,0.0,6.7,7.7,99.99,N,0.0,N,0.0,0.0,6.7,65.45,3.7,8.5,0.0,0
000000000027599,99.99,10.4,0,0.0,0.0,1.7,0.2,10.4,12.9,99.99,R,5.54,R,0.0,0.0,10.4,188.34,14.0,14.6,0.0,30
000000000027600,99.99,10.4,0,0.0,0.0,1.8,0.2,10.4,13.1,99.99,N,0.0,N,0.0,0.0,10.4,227.94,16.8,17.4,0.0,15
000000000027606,99.99,9.1,0,0.0,0.0,0.5,0.5,9.1,10.8,99.99,N,0.0,N,0.0,0.0,9.1,69.12,5.5,6.4,0.0,0
000000000027610,99.99,10.7,0,0.0,0.0,1.5,1.5,12.2,16.0,99.99,N,0.0,N,0.0,0.0,12.2,156.8,9.4,9.8,0.0,0
000000000027618,99.99,13.4,0,0.0,0.0,1.5,1.5,13.4,15.8,99.99,N,0.0,N,0.0,0.0,13.4,211.72,12.8,13.4,0.0,0
000000000027619,99.99,15.2,0,0.0,0.0,1.5,1.5,12.3,16.8,99.99,N,0.0,N,0.0,0.0,12.3,379.68,11.0,22.6,0.0,20
000000000027623,99.99,10.1,0,0.0,0.0,0.0,0.0,10.1,10.7,99.99,N,0.0,N,0.0,0.0,10.1,71.69,3.0,6.7,0.0,8
000000000027625,99.99,15.2,0,0.0,0.0,0.0,0.0,15.2,15.8,99.99,N,0.0,N,0.0,0.0,15.2,110.6,7.0,7.0,0.0,61
000000000027627,99.99,7.3,0,0.0,0.0,1.8,1.8,8.6,12.8,99.99,R,6.86,R,0.0,0.0,8.6,289.28,21.9,22.6,0.0,8
000000000027630,99.99,13.4,0,0.0,0.0,1.5,1.5,13.4,17.4,99.99,N,0.0,N,0.0,0.0,13.4,153.12,7.9,8.8,0.0,30
000000000027631,99.99,10.1,0,0.0,0.0,1.7,1.7,10.1,14.6,99.99,N,0.0,N,0.0,0.0,10.1,221.92,14.6,15.2,0.0,14
000000000027632,99.99,12.2,0,0.0,0.0,1.5,1.5,12.2,16.5,99.99,N,0.0,N,0.0,0.0,12.2,211.2,12.2,12.8,0.0,15
000000000027633,99.99,9.4,0,0.0,0.0,0.0,1.5,0.0,0.0,99.99,N,0.0,N,0.0,0.0,9.4,92.12,9.1,9.8,0.0,40
000000000027634,99.99,9.1,0,0.0,0.0,1.5,1.5,9.1,12.8,99.99,R,6.48,R,0.0,0.0,9.1,405.76,13.4,31.7,0.0,45
000000000027637,99.99,7.3,0,0.0,0.0,1.9,1.9,7.3,11.6,99.99,R,6.43,R,0.0,0.0,7.3,269.12,10.4,23.2,0.0,0
000000000027639,99.99,7.0,0,0.0,0.0,1.5,1.5,7.0,10.7,99.99,N,0.0,N,0.0,0.0,7.0,146.59,12.5,13.7,0.0,0
000000000027641,99.99,15.2,0,0.0,0.0,1.9,1.8,14.6,19.1,99.99,N,0.0,N,0.0,0.0,14.6,250.21,12.2,13.1,0.0,45
000000000027642,99.99,7.9,0,0.0,0.0,1.5,1.5,12.3,16.1,99.99,N,0.0,N,0.0,0.0,12.3,225.4,6.7,14.0,0.0,25
000000000027646,99.99,7.3,0,0.0,0.0,1.5,1.5,7.3,11.0,99.99,N,0.0,N,0.0,0.0,7.3,154.0,7.0,14.0,0.0,40
